"customer_message","support_response"
"Can I pay with UPI?","Hi! We accept credit/debit cards, UPI, popular wallets, net banking, and Cash on Delivery (up to ₹50,000, ₹40 fee). Pick your preferred option at checkout. — Team NovaCart 💙"
"Can I exchange my table lamp for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Steps to return a product?","Hi! Our return window is 7 days from delivery. To return your phone case:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"The item is defective, what do I do?","Hi! So sorry about the damaged water bottle. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"How can I get free shipping?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"When does the refund hit my account?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"The product I got is not working.","Hi! So sorry about the damaged sneakers. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"How do I update my email?","Hi! No worries — tap 'Forgot Password', enter your registered email or mobile, and follow the reset link we send. Still stuck? I'm here to help. — Team NovaCart 💙"
"When is shipping free?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"Do you offer free shipping?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"Need to change where my phone case is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"How do I track my wall clock?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"Is exchange available instead of return?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"How many days for delivery?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"Can I do COD for an order worth ₹70000?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"The item is defective, what do I do?","Hi! So sorry about the damaged wristwatch. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Does COD have a maximum amount?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"Is it possible to cancel an order?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"The product I got is not working.","Hi! So sorry about the damaged headphones. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I want COD for an order worth ₹80,000.","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"How do I return my order?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"How can I get free shipping?","Hi! Shipping is free on all orders over ₹499. For orders below that, a small delivery fee applies at checkout. — Team NovaCart 💙"
"I returned my bluetooth speaker, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Is COD available?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"Can I do COD for an order worth ₹60000?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"What's the delivery time to Lucknow?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your bluetooth speaker. — Team NovaCart 💙"
"Refund status for order CK770487?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Can I do cash on delivery for ₹70,000?","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"Is there a minimum for free delivery?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"When will my water bottle be delivered?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your coffee mug. — Team NovaCart 💙"
"Where do I enter a promo code?","Hi! To use a coupon:
1. Add items to your cart
2. At checkout, enter the code in 'Apply Coupon'
3. Tap 'Apply' to see the discount
If a valid code isn't working, reply with it and I'll check. — Team NovaCart 💙"
"How much is delivery charge?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"Is there a cash on delivery facility?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"Refund status for order CK948749?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"I entered the wrong address for order CK733052.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I want to return my phone case.","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Can I return this item?","Hi! Our return window is 7 days from delivery. To return your cotton kurta:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"I want to return my running shoes.","Hi! Our return window is 7 days from delivery. To return your sunglasses:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"How long does delivery take?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your table lamp. — Team NovaCart 💙"
"I'm not receiving the OTP.","Hi! No worries — tap 'Forgot Password', enter your registered email or mobile, and follow the reset link we send. Still stuck? I'm here to help. — Team NovaCart 💙"
"I received a damaged product.","Hi! So sorry about the damaged wristwatch. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I entered the wrong address for order CK329258.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"What is your return policy?","Hi! Our return window is 7 days from delivery. To return your winter jacket:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"I want to cancel order CK131244.","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"My table lamp arrived broken.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"My package showed up damaged.","Hi! So sorry about the damaged sunglasses. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"How many days for delivery?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your saree. — Team NovaCart 💙"
"When will I get my refund?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Can I cancel my coffee mug before it ships?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Refund please, I ordered a month ago.","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"Received a faulty phone case, please help.","Hi! So sorry about the damaged wireless earbuds. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Is there a cash on delivery facility?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"I entered the wrong address for order CK133326.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"I received a damaged product.","Hi! So sorry about the damaged table lamp. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Is return free?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"Steps to return a product?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Do you accept cash on delivery?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"I want to return my wall clock.","Hi! Our return window is 7 days from delivery. To return your sneakers:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"Received a faulty running shoes, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"What's the COD limit?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"My package showed up damaged.","Hi! So sorry about the damaged bluetooth speaker. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"Can I exchange my kitchen mixer for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Is there a cash on delivery facility?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"Refund status for order CK835392?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"I want to return my table lamp.","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"What payment methods do you accept?","Hi! We accept credit/debit cards, UPI, popular wallets, net banking, and Cash on Delivery (up to ₹50,000, ₹40 fee). Pick your preferred option at checkout. — Team NovaCart 💙"
"How long does a refund take?","Hi! Refunds typically reach your original payment method in 5-7 business days after the return is picked up and verified. — Team NovaCart 💙"
"Does COD have a maximum amount?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"Is there a minimum for free delivery?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"Can I see my delivery status?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"How to check tracking?","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"What's the delivery time to Kolkata?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"Received a faulty winter jacket, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Is same-day delivery available?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your running shoes. — Team NovaCart 💙"
"When will my order reach Lucknow?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"Order status please for CK191161.","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"What is your return policy?","Hi! Our return window is 7 days from delivery. To return your headphones:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"My package showed up damaged.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"I want to cancel order CK948749.","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"My wristwatch arrived broken.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Received a faulty headphones, please help.","Hi! So sorry about the damaged table lamp. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I don't have a card, can I pay cash on delivery?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"Is COD available?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"How do I track my backpack?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"How long is the return window?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"I want to return my order after 15 days.","Hi! Unfortunately returns are only accepted within 7 days of delivery, so I can't process this one. If there's a quality or warranty issue, please share details and I'll look into options. — Team NovaCart 💙"
"How do I cancel my order?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"Can I use COD for my running shoes order?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"Need to change where my backpack is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Can I cancel my sneakers before it ships?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"I need some help","Hi! Welcome to NovaCart support. How can I help you today — orders, returns, payments, or something else? — Team NovaCart 💙"
"I entered the wrong address for order CK671412.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Can I do cash on delivery for ₹70,000?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"What's the COD limit?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"Received a faulty yoga mat, please help.","Hi! So sorry about the damaged wall clock. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"What's the shipping fee?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"How do I reset my password?","Hi! No worries — tap 'Forgot Password', enter your registered email or mobile, and follow the reset link we send. Still stuck? I'm here to help. — Team NovaCart 💙"
"I don't have a card, can I pay cash on delivery?","Hi! Absolutely — we offer COD up to ₹50,000 per order. A ₹40 handling fee applies. You'll find the option at the payment step. — Team NovaCart 💙"
"My order CK671412 hasn't arrived yet.","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"Received a faulty saree, please help.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"Can I use COD for my running shoes order?","Hi! Cash on Delivery is available for orders up to ₹50,000. Just choose 'Cash on Delivery' at checkout — note a ₹40 handling fee is added. — Team NovaCart 💙"
"I want to cancel order CK329258.","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Can I use COD for my saree order?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"I returned my headphones, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Can I pay cash when my order arrives?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"Order status please for CK201414.","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"It's been 10 days, can I still return this saree?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"Can I get a refund 20 days after delivery?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"Order CK476417 came with a cracked item.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"I want to cancel order CK835392.","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
"Refund please, I ordered a month ago.","Hi! I'm sorry, but our return window is 7 days from delivery, so this order is outside it. If the item is defective or under warranty, I'd be glad to help with that instead. — Team NovaCart 💙"
"Is same-day delivery available?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your wireless earbuds. — Team NovaCart 💙"
"My discount code isn't working.","Hi! To use a coupon:
1. Add items to your cart
2. At checkout, enter the code in 'Apply Coupon'
3. Tap 'Apply' to see the discount
If a valid code isn't working, reply with it and I'll check. — Team NovaCart 💙"
"I need some help","Hi! Thanks for reaching out to NovaCart. What can I help you with today? — Team NovaCart 💙"
"How do I track my winter jacket?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"It's been 10 days, can I still return this wristwatch?","Hi! Cash on Delivery is available only up to ₹50,000 per order, so this amount isn't eligible for COD. You can use UPI, cards, or net banking instead — all secure and quick. — Team NovaCart 💙"
"How long is the return window?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"When will my wall clock be delivered?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your winter jacket. — Team NovaCart 💙"
"I'd like to pay on delivery, is that possible?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"Do I have to pay for shipping on a ₹350 order?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"Need to change where my wall clock is delivered.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"My order CK126225 hasn't arrived yet.","Hi! Let's find your order. Head to 'My Orders' → select the item → you'll see real-time tracking. If it's delayed beyond the estimate, I'll be glad to escalate it. — Team NovaCart 💙"
"I returned my bedsheet set, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Is anyone there?","Hi! Thanks for reaching out to NovaCart. What can I help you with today? — Team NovaCart 💙"
"My winter jacket arrived broken.","Hi! I'm really sorry your item arrived damaged. Let's fix this quickly:
1. Go to 'My Orders' and select the item
2. Tap 'Report an Issue' and upload a photo
3. We'll arrange a free pickup and a replacement or refund
I'm flagging this to our resolution team now. — Team NovaCart 💙"
"How do I track my sunglasses?","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"Do you offer free shipping?","Hi! Orders over ₹499 ship free. Add a little more to cross ₹499 and your delivery is on us! — Team NovaCart 💙"
"My order CK850800 hasn't arrived yet.","Hi! To check where your package is, go to 'My Orders' and tap the order for live tracking and the estimated delivery date. — Team NovaCart 💙"
"What's the delivery time to Ahmedabad?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your coffee mug. — Team NovaCart 💙"
"How long does delivery take?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your power bank. — Team NovaCart 💙"
"Is it possible to cancel an order?","Hi! To cancel, go to 'My Orders', pick the order, and tap 'Cancel Order' — possible until it ships. Already shipped? You can return it within 7 days of delivery. — Team NovaCart 💙"
"Refund status for order CK331148?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"What's the delivery time to Hyderabad?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your power bank. — Team NovaCart 💙"
"Is delivery free on all orders?","Hi! You get free shipping when your order total is above ₹499. Below ₹499, a nominal delivery charge is added. — Team NovaCart 💙"
"Hey there","Hi! Welcome to NovaCart support. How can I help you today — orders, returns, payments, or something else? — Team NovaCart 💙"
"Can I exchange my saree for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"I changed my mind, how do I send the kitchen mixer back?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"When will my saree be delivered?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your winter jacket. — Team NovaCart 💙"
"When will my table lamp be delivered?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your water bottle. — Team NovaCart 💙"
"Can I exchange my running shoes for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"Do you take credit cards?","Hi! We accept credit/debit cards, UPI, popular wallets, net banking, and Cash on Delivery (up to ₹50,000, ₹40 fee). Pick your preferred option at checkout. — Team NovaCart 💙"
"When will my cotton kurta be delivered?","Hi! Standard delivery usually takes 3-5 business days, depending on your location. You can see the exact estimated date on the product page and in 'My Orders'. — Team NovaCart 💙"
"How many days for delivery?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your bedsheet set. — Team NovaCart 💙"
"Steps to return a product?","Hi! Our return window is 7 days from delivery. To return your table lamp:
1. Visit 'My Orders'
2. Tap 'Return' on the item
3. Select a pickup time
There's no return fee. — Team NovaCart 💙"
"I changed my mind, how do I send the wristwatch back?","Hi! Returns are easy at NovaCart. You have 7 days from delivery to return an item. To start:
1. Go to 'My Orders'
2. Select the item and tap 'Return'
3. Choose a reason and a pickup slot
We'll arrange a free pickup. — Team NovaCart 💙"
"Can I exchange my wristwatch for a different size?","Hi! Exchanges for size or color are easy within 7 days of delivery:
1. Open 'My Orders'
2. Tap 'Exchange' on the item
3. Pick your new size/color
We'll swap it during a free pickup. — Team NovaCart 💙"
"My order CK391704 hasn't arrived yet.","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"I entered the wrong address for order CK126225.","Hi! You can update the address before the order ships:
1. Go to 'My Orders'
2. Select the order and tap 'Edit Address'
If it's already shipped, reply here and I'll try to reroute it for you. — Team NovaCart 💙"
"Can I see my delivery status?","Hi! You can track your order anytime:
1. Open 'My Orders'
2. Tap the order
3. View live tracking and the expected delivery date
If anything looks off, just reply here. — Team NovaCart 💙"
"I don't have a card, can I pay cash on delivery?","Hi! You can pay cash on delivery on any order up to ₹50,000. A ₹40 handling fee is added to COD orders. — Team NovaCart 💙"
"I received a damaged product.","Hi! So sorry about the damaged wireless earbuds. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I returned my yoga mat, where's my money?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"Refund status for order CK476417?","Hi! Once we receive your returned item, refunds are processed to your original payment method within 5-7 business days. You'll get an email when it's done. — Team NovaCart 💙"
"I changed my mind, how do I send the wireless earbuds back?","Hi! You can return most items within 7 days of delivery. Just open 'My Orders', pick the item, and select 'Return' — we'll schedule a free pickup. — Team NovaCart 💙"
"What's the delivery time to Chennai?","Hi! Most orders arrive in 3-5 business days. Check 'My Orders' for the precise estimated delivery date for your wristwatch. — Team NovaCart 💙"
"Order CK731262 came with a cracked item.","Hi! So sorry about the damaged coffee mug. Please open 'My Orders', tap 'Report an Issue', and add a photo — we'll pick it up free of charge and send a replacement right away. — Team NovaCart 💙"
"I'd like to pay on delivery, is that possible?","Hi! Yes, NovaCart accepts Cash on Delivery on orders up to ₹50,000. A small ₹40 handling fee applies, and you can select COD at checkout. — Team NovaCart 💙"
"How do I apply a coupon?","Hi! To use a coupon:
1. Add items to your cart
2. At checkout, enter the code in 'Apply Coupon'
3. Tap 'Apply' to see the discount
If a valid code isn't working, reply with it and I'll check. — Team NovaCart 💙"
"Can I cancel my running shoes before it ships?","Hi! You can cancel before the order is shipped:
1. Open 'My Orders'
2. Select the order
3. Tap 'Cancel Order'
If it's already shipped, you can refuse delivery or return it within 7 days. — Team NovaCart 💙"
